ticker,company,sector,industry,country,market_cap_usd,market_cap_fmt,pe_num,price_num,change_pct,volume_num
CLMT,Calumet Inc,Materials,Specialty Chemicals,USA,1971930000,1.9719B,,22.73,0,0
CLNE,Clean Energy Fuels Corp,Energy,Oil & Gas Refining & Marketing,USA,482460000,482.4600M,,2.2,0,0
CLOV,Clover Health Investments Corp,Healthcare,Healthcare Plans,USA,1136700000,1.1367B,,2.2,0,4202
CLPT,ClearPoint Neuro Inc,Healthcare,Medical Devices,USA,393870000,393.8700M,,13.24,0,673
CLSK,Cleanspark Inc,Financials,Capital Markets,USA,2866960000,2.8670B,10.17,11.21,1.54,80774
CLX,Clorox Co,Consumer Staples,Household & Personal Products,USA,13813060000,13.8131B,17.75,113.24,-0.04,527
CLYM,Climb Bio Inc,Healthcare,Biotechnology,USA,322510000,322.5100M,,4.73,0,0
CM,Canadian Imperial Bank Of Commerce,Financials,Banks - Diversified,USA,87796300000,87.7963B,15.48,94.75,0,0
CMA,"Comerica, Inc",Financials,Banks - Regional,USA,11331510000,11.3315B,16.81,88.67,0,0
CMC,Commercial Metals Co,Materials,Steel,USA,8914740000,8.9147B,20.71,80.38,0,0
CMCO,Columbus Mckinnon Corp,Industrials,Farm & Heavy Construction Machinery,USA,606170000,606.1700M,154.92,21.1,0,0
CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,1.07094E+11,107.0941B,5.47,29.39,-0.68,9643
CME,CME Group Inc,Financials,Financial Data & Stock Exchanges,USA,1.04715E+11,104.7146B,28.15,290.39,-0.13,380
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,USA,50815140000,50.8151B,33.87,38.43,-0.21,5758
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA,82149520000,82.1495B,30.89,595.13,0,0
CMP,Compass Minerals International Inc,Materials,Other Industrial Metals & Mining,USA,1051900000,1.0519B,,25.14,0,0
CMPX,Compass Therapeutics Inc,Healthcare,Biotechnology,USA,1161440000,1.1614B,,6.53,0.15,383
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,21469760000,21.4698B,20.37,70.55,0,0
CNA,CNA Financial Corp,Financials,Insurance - Property & Casualty,USA,13086730000,13.0867B,13.21,48.35,0,0
CNC,Centene Corp,Healthcare,Healthcare Plans,USA,21036970000,21.0370B,,42.8,0,0
CNK,Cinemark Holdings Inc,Communication Services,Entertainment,USA,2898130000,2.8981B,23.99,24.67,0,0
CNM,Core & Main Inc,Industrials,Industrial Distribution,USA,10674970000,10.6750B,23.97,54.6,0,0
CNMD,Conmed Corp,Healthcare,Medical Devices,USA,1214250000,1.2143B,25.87,39.21,0,0
CNNE,Cannae Holdings Inc,Consumer Discretionary,Restaurants,USA,713160000,713.1600M,,14.47,0,0
CNO,CNO Financial Group Inc,Financials,Insurance - Life,USA,4081130000,4.0811B,14.96,42.8,0,0
CNOB,ConnectOne Bancorp Inc,Financials,Banks - Regional,USA,1372960000,1.3730B,18.24,27.31,0,0
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA,25677310000,25.6773B,24.83,39.33,-0.13,268
CNR,Core Natural Resources Inc,Energy,Thermal Coal,USA,4612060000,4.6121B,,90.01,0,0
CNS,Cohen & Steers Inc,Financials,Asset Management,USA,3248160000,3.2482B,21.38,63.68,0,0
CNX,CNX Resources Corp,Energy,Oil & Gas E&P,USA,5037350000,5.0373B,10.14,37.36,0,0
CNXC,Concentrix Corp,Technology,Information Technology Services,USA,2443560000,2.4436B,,39.67,0,0
CNXN,"PC Connection, Inc",Technology,Electronics & Computer Distribution,USA,1516230000,1.5162B,18.55,60.06,0,0
COCO,Vita Coco Company Inc,Consumer Staples,Beverages - Non-Alcoholic,USA,3173730000,3.1737B,48.21,55.73,0,0
CODI,Compass Diversified Holdings,Industrials,Conglomerates,USA,472480000,472.4800M,,6.28,0,0
COF,Capital One Financial Corp,Financials,Credit Services,USA,1.42277E+11,142.2772B,94.91,223.8,0.05,772
COFS,"Choiceone Financial Services, Inc",Financials,Banks - Regional,USA,445450000,445.4500M,19.84,29.65,0,0
COGT,Cogent Biosciences Inc,Healthcare,Biotechnology,USA,5771970000,5.7720B,,37.96,0,0
COHR,Coherent Corp,Technology,Scientific & Technical Instruments,USA,36359060000,36.3591B,333.42,231.36,4.01,37535
COHU,"Cohu, Inc",Technology,Semiconductor Equipment & Materials,USA,1421790000,1.4218B,,30.45,3.75,5455
COIN,Coinbase Global Inc,Financials,Financial Data & Stock Exchanges,USA,51154050000,51.1540B,16.42,189.7,0.98,185119
COKE,Coca-Cola Consolidated Inc,Consumer Staples,Beverages - Non-Alcoholic,USA,13149810000,13.1498B,23.81,153.89,0,0
COLB,"Columbia Banking System, Inc",Financials,Banks - Regional,USA,8880900000,8.8809B,13.14,29.69,0,0
COLL,Collegium Pharmaceutical Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1489190000,1.4892B,29.32,47.11,0,0
COLM,Columbia Sportswear Co,Consumer Discretionary,Apparel Manufacturing,USA,2981670000,2.9817B,16.64,55.33,0,0
CON,Concentra Group Holdings Parent Inc,Healthcare,Medical Care Facilities,USA,2838970000,2.8390B,18.6,22.15,0,0
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,USA,15805630000,15.8056B,43.04,80.65,0,0
COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,1.25734E+11,125.7343B,14.39,101.75,-0.04,4176
COR,Cencora Inc,Healthcare,Medical Distribution,USA,70721900000,70.7219B,45.72,363.56,0,0
CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology,USA,4359000000,4.3590B,47.35,41.44,1.79,5
CORZ,Core Scientific Inc,Technology,Software - Infrastructure,USA,5624520000,5.6245B,130.22,18.14,1.51,13885
COSO,CoastalSouth Bancshares Inc,Financials,Banks - Regional,USA,332050000,332.0500M,11.36,24.58,0,0
COST,Costco Wholesale Corp,Consumer Staples,Discount Stores,USA,4.29626E+11,429.6256B,51.85,967.91,-0.05,2133
COTY,Coty Inc,Consumer Staples,Household & Personal Products,USA,2833760000,2.8338B,,3.24,0,0
COUR,Coursera Inc,Consumer Staples,Education & Training Services,USA,1047750000,1.0477B,,6.24,-0.32,1009
CPAY,Corpay Inc,Technology,Software - Infrastructure,USA,21328110000,21.3281B,20.7,304.87,0,0
CPB,Campbells Co,Consumer Staples,Packaged Foods,USA,8085400000,8.0854B,14.03,27.12,-1.49,24140
CPF,Central Pacific Financial Corp,Financials,Banks - Regional,USA,884770000,884.7700M,11.52,32.98,0,0
CPK,Chesapeake Utilities Corp,Utilities,Utilities - Regulated Gas,USA,3014750000,3.0147B,22.56,127.47,0,0
CPNG,Coupang Inc,Consumer Discretionary,Internet Retail,USA,36880020000,36.8800B,95.55,20.19,0.75,83213
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38314140000,38.3141B,24.28,39.58,-0.25,1397
CPRX,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3110910000,3.1109B,14.77,25.31,1.24,1188
CPS,Cooper-Standard Holdings Inc,Consumer Discretionary,Auto Parts,USA,559270000,559.2700M,17.45,31.71,0,0
CQP,Cheniere Energy Partners LP,Energy,Oil & Gas Midstream,USA,27102110000,27.1021B,14.54,55.99,0,0
CR,Crane Co,Industrials,Specialty Industrial Machinery,USA,10745280000,10.7453B,33.69,186.56,0.7,327
CRAI,CRA International Inc,Industrials,Consulting Services,USA,1245880000,1.2459B,22.83,189.85,0,0
CRAN,Crane Harbor Acquisition Corp II,Financials,Shell Companies,USA,351900000,351.9000M,,9.97,0,0
CRAQ,Cal Redwood Acquisition Corp,Financials,Shell Companies,USA,318580000,318.5800M,,10.17,0,0
CRBG,Corebridge Financial Inc,Financials,Asset Management,USA,16213380000,16.2134B,17.87,31.15,0,0
CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,4719560000,4.7196B,12.29,52.86,0,0
CRCL,Circle Internet Group Inc,Financials,Capital Markets,USA,14149720000,14.1497B,,60.09,2.09,183051
CRCT,Cricut Inc,Technology,Computer Hardware,USA,961320000,961.3200M,12.05,4.54,0,0
CRD-A,Crawford & Co,Financials,Insurance Brokers,USA,535940000,535.9400M,17.04,11.12,0,0
CRD-B,Crawford & Co,Financials,Insurance Brokers,USA,535940000,535.9400M,16.14,10.53,0,0
CRF,Cornerstone Total Return Fund,Financials,Closed-End Fund - Equity,USA,939130000,939.1300M,9.11,7.93,0,0
CRGY,Crescent Energy Co,Energy,Oil & Gas E&P,USA,3086790000,3.0868B,,9.4,-0.32,4101
CRH,CRH Plc,Materials,Building Materials,USA,83340090000,83.3401B,24.78,124.54,-0.05,3716
CRI,Carters Inc,Consumer Discretionary,Apparel Retail,USA,1326340000,1.3263B,14.76,36.39,0,0
CRK,"Comstock Resources, Inc",Energy,Oil & Gas E&P,USA,6529260000,6.5293B,100,22.28,1.13,3036
CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research,USA,10441550000,10.4415B,,212.16,-0.5,62
CRM,Salesforce Inc,Technology,Software - Application,USA,1.94606E+11,194.6055B,27.71,207.69,-1.48,66643
CRMD,CorMedix Inc,Healthcare,Biotechnology,USA,646860000,646.8600M,4,8.21,0.49,2063
CRNC,Cerence Inc,Technology,Software - Application,USA,496970000,496.9700M,,11.04,1.28,1476
CRNX,Crinetics Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5058960000,5.0590B,,49.35,0,0
CROX,Crocs Inc,Consumer Discretionary,Footwear & Accessories,USA,4489140000,4.4891B,28.19,86.47,-0.47,488
CRS,Carpenter Technology Corp,Industrials,Metal Fabrication,USA,15540130000,15.5401B,36.24,311.99,0.21,415
CRSR,Corsair Gaming Inc,Technology,Computer Hardware,USA,547800000,547.8000M,,5.14,0,0
CRUS,"Cirrus Logic, Inc",Technology,Semiconductors,USA,6661000000,6.6610B,18.55,130.53,0,0
CRVL,Corvel Corp,Financials,Insurance Brokers,USA,3574470000,3.5745B,34.37,69.75,0,0
CRVS,Corvus Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1759130000,1.7591B,,21,0.1,509
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,1.10374E+11,110.3737B,,437.82,-0.23,6517
CRWV,CoreWeave Inc,Technology,Software - Infrastructure,USA,45586090000,45.5861B,,91.48,2.86,118027
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment,USA,3.19525E+11,319.5250B,30.49,80.87,0.29,27943
CSGS,CSG Systems International Inc,Technology,Software - Infrastructure,USA,2276200000,2.2762B,27.08,79.81,0,0
CSL,Carlisle Companies Inc,Industrials,Building Products & Equipment,USA,14352580000,14.3526B,19.44,343.48,0,0
CSQ,Calamos Strategic Total Return Fund,Financials,Closed-End Fund - Debt,USA,3104760000,3.1048B,4.29,19.36,0,0
CSTL,Castle Biosciences Inc,Healthcare,Diagnostics & Research,USA,1152080000,1.1521B,,39.47,0,0
CSV,"Carriage Services, Inc",Consumer Discretionary,Personal Services,USA,684760000,684.7600M,13.98,43.49,0,0
CSW,CSW Industrials Inc,Industrials,Specialty Industrial Machinery,USA,4286710000,4.2867B,34.53,260.27,0,0
CSWC,Capital Southwest Corp,Financials,Asset Management,USA,1344730000,1.3447B,13.05,23.4,1.08,622
CSX,CSX Corp,Industrials,Railroads,USA,71450200000,71.4502B,24.87,38.37,-0.05,1495
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,75895050000,75.8950B,41.02,189.79,-0.59,300
